ComplexName	subunits(UniProt IDs)	subunits(Entrez IDs)	GO description	FunCat description	subunits(Gene name)	Subunits comment	Complex comment	Disease comment
Arp2/3 protein complex	O15143;O15144;O15145;O15511;P59998;P61158;P61160	10095;10109;10094;10092;10093;10096;10097	None	None	ARPC1B;ARPC2;ARPC3;ARPC5;ARPC4;ACTR3;ACTR2	None	None	"Transcript levels of ARP2/3 complex subunits, and of nucleation promotion factors that regulate the ARP2/3 complex, were significantly lower in DLPFC layer 3 and 5 pyramidal cells in schizophrenia. In contrast, these transcripts were unaltered, or only modestly changed, in parvalbumin interneurons and DLPFC gray matter (PMID:27523502)"
PA28gamma complex	P61289	10197	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator	PSME3	"According to gel filtration chromatography experiments, the protein complex probably consists of seven identical subunits."	None	None
PA28 complex	Q06323;Q9UL46	5720;5721	proteasome-mediated ubiquitin-dependent protein catabolic process;ubiquitin-dependent protein catabolic process;regulation of binding;protein binding;peptidase activator activity;cytoplasm	proteasomal degradation (ubiquitin/proteasomal pathway);regulation by binding / dissociation;protein binding;protease activator;cytoplasm	PSME1;PSME2	None	"PA28 is a regulatory complex of the 20S proteasome. It acts as proteasome activator and stimulates cleavage after basic, acidic, and most hydrophobic residues in many peptides."	None
PA700 complex	O00231;O00232;O00233;O00487;O43242;O75832;P17980;P35998;P43686;P48556;P51665;P55036;P62191;P62195;P62333;Q13200;Q15008;Q16401;Q99460;Q9UNM6	5717;5718;5715;10213;5709;5716;5702;5701;5704;5714;5713;5710;5700;5705;5706;5708;9861;5711;5707;5719	proteasome-mediated ubiquitin-dependent protein catabolic process;protein binding;peptidase activator activity	proteasomal degradation (ubiquitin/proteasomal pathway);protein binding;protease activator	PSMD11;PSMD12;PSMD9;PSMD14;PSMD3;PSMD10;PSMC3;PSMC2;PSMC4;PSMD8;PSMD7;PSMD4;PSMC1;PSMC5;PSMC6;PSMD2;PSMD6;PSMD5;PSMD1;PSMD13	None	"The proteasome is an essential component of the ATP-dependent proteolytic pathway in eukaryotic cells and is responsible for the degradation of most cellular proteins (for reviews see PMID:8811196 and PMID:10872471). It contains a barrel-shaped proteolytic core complex (the 20S proteasome), and is capped at one or both ends by regulatory complexes like the 19S complex (PMID:11812135), modulator (PMID:8621709), PA28 (PMID:9325261) and PA28gamma (PMID:9325261). Interferon-gamma (IFN-gamma) alters the peptide-degrading specificity of proteasomes and produces an immunoproteasome responsible for accelerated processing of nonself endogenous antigens by inducing the replacement of subunits Psmb5, Psmb6 and Psmb7 by Psmb8, Psmb9 and Psmb10, respectively."	None
Prefoldin complex	O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9	10471;5201;7411;5204;5203;5202	cytoskeleton organization;protein folding;protein stabilization;actin cytoskeleton organization	cytoskeleton/structural proteins;protein folding and stabilization;actin cytoskeleton	PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2	None	None	None
AP1 adaptor complex	O43747;O75843;P56377;P61966;Q10567;Q96PC3;Q9BXS5;Q9Y6Q5	164;8906;8905;1174;162;130340;8907;10053	intracellular protein transport;protein targeting;protein transport;vesicle-mediated transport;membrane budding;vesicle organization;endocytosis;transport vesicle	"protein targeting, sorting and translocation;protein transport;vesicular transport (Golgi network, etc.);vesicle formation;endocytosis;intracellular transport vesicles"	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1S3;AP1M1;AP1M2	None	This adaptor-related complex participates in a transport step different from that of AP-1. It may function at some trafficking step in the complex pathways between the TGN and the cell surface.	None
Mi-2/NuRD-MTA3 complex	O94776;O95983;P41182;Q13547;Q9BTC8	9219;53615;604;3065;57504	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;B cell differentiation;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;B-cell;nucleus"	MTA2;MBD3;BCL6;HDAC1;MTA3	None	"The transcriptional repressor BCL-6 regulates B lymphocyte cell fate during the germinal center reaction by preventing terminal differentiation of B lymphocytes into plasma cells until appropriate signals are received. A cofactor, MTA3, a cell type-specific subunit of the corepressor complex Mi-2/NuRD, for BCL-6-dependent cell fate determination is reported. MTA3 is expressed in the same pattern in germinal centers as BCL-6. BCL-6 physically interacts with Mi-2/NuRD and this interaction is sensitive to BCL-6 acetylation status."	None
"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	PSEN1;NCSTN;APH1A;PSENEN	None	"Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes."	Gamma-secretase is causally implicated in Alzheimer's disease.
"Gamma-secretase complex (APH1A, PSEN1, PSENEN, NCSTN)"	P49768;Q92542;Q96BI3;Q9NZ42	5663;23385;51107;55851	protein processing;regulation of sequence-specific DNA binding transcription factor activity;Notch signaling pathway;plasma membrane;Golgi apparatus	protein processing (proteolytic);regulator of transcription factor;Notch-receptor signalling pathway;eukaryotic plasma membrane / membrane attached;Golgi	PSEN1;NCSTN;APH1A;PSENEN	None	"Proteolytic cleavage within the hydrophobic transmembrane domains of Notch and APP are intimately associated with a multimeric gamma-secretase complex that contains the presenilin-1 or presenilin-2 and the membrane glycoprotein nicastrin. Three variants of APH1 (APH1A short, APH1A long and APH1B) as well as two presenillin variants (PSEN1 and PSEN2) allow the formation of six different gamma-secretase complexes."	Gamma-secretase is causally implicated in Alzheimer's disease.
DNMT3B complex	O60264;O95239;O95347;Q13547;Q96ST3;Q9NTJ3;Q9UBC3	8467;24137;10592;3065;25942;10051;1789	DNA methylation;DNA topological change;M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	DNA methylation;DNA conformation modification (e.g. chromatin);M phase;chromosome segregation/division;organization of chromosome structure;chromosome	SMARCA5;KIF4A;SMC2;HDAC1;SIN3A;SMC4;DNMT3B	None	None	None
RAB5-RABAPTIN5\u2013RABEX5 complex	P20339;Q15276;Q9UJ41	5868;9135;27342	endocytosis	endocytosis	RAB5A;RABEP1;RABGEF1	None	"The Rab5-binding protein, Rabex-5 forms a tight physical complex with Rabaptin-5, and this complex is essential for endocytic membrane fusion. Both Rabaptin-5 and Rabex-5 are recruited by immobilized Rab5."	None
SIN3 complex	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	10284;8819;5928;3065;5931;3066;25942	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A	None	"An important event in gene expression is the covalent modification of histone proteins. Histone deacetylases and SAP18 are components of a human Sin3 complex. SAP18 exists in the same complex with mSin3 and HDAC1, and SAP18 enhances mSin3-HDAC1-mediated transcriptional repression."	None
HDAC4-ERK1 complex	P27361;P56524	5595;9759	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus"	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	MAPK3;HDAC4	None	"ERK1 activity links the Ras-MAPK signal transduction pathway to a mechanism for chromatin remodeling (i.e., histone deacetylation)."	None
HDAC4-ERK2 complex	P28482;P56524	5594;9759	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;MAPK cascade;chromosome organization;nucleus"	DNA conformation modification (e.g. chromatin);transcriptional control;MAPKKK cascade;organization of chromosome structure;nucleus	MAPK1;HDAC4	None	None	None
SMRT complex	O15379;O60907;Q13227;Q9BZK7;Q9Y618	8841;6907;2874;79718;9612	"DNA topological change;negative regulation of transcription, DNA-templated;protein acetylation;protein deacetylation;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription repression;modification by acetylation, deacetylation;organization of chromosome structure;nucleus"	HDAC3;TBL1X;GPS2;TBL1XR1;NCOR2	None	"Corepressors N-CoR and SMRT participate in diverse repression pathways and exist in large protein complexes including HDAC3, TBL1 and TBLR1. IR10, a subunit of the N-CoR complex, does not associate with SMRT (NCOR2)."	None
AP3 adaptor complex	O00203;O14617;P53677;P59780;Q13367;Q92572;Q9Y2T2	8546;8943;10947;10239;8120;1176;26985	intracellular protein transport;protein targeting;protein transport;post-Golgi vesicle-mediated transport;endocytosis;vacuole;lysosome	"protein targeting, sorting and translocation;protein transport;post Golgi transport;endocytosis;vacuole or lysosome"	AP3B1;AP3D1;AP3M2;AP3S2;AP3B2;AP3S1;AP3M1	None	None	None
Interferon-stimulated gene factor 3 transcription complex ISGF3	P42224;P52630;Q00978	6772;6773;10379	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	transcriptional control;nucleus	STAT1;STAT2;IRF9	None	The p48 and Stat1:2 heterodimer do not associate stably in the absence of DNA.	None
Mi2/NuRD complex	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769	9219;53615;5928;3065;1108;5931;3066	"DNA topological change;negative regulation of transcription, DNA-templated;RNA biosynthetic process;chromosome organization;nucleus"	DNA conformation modification (e.g. chromatin);transcription repression;RNA synthesis;organization of chromosome structure;nucleus	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2	None	None	"Dermatomyositis, cancer (PMID:9790534)"
MeCP1 complex	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5	9219;53615;5928;3065;1108;5931;3066;8932	"DNA topological change;negative regulation of transcription, DNA-templated;DNA binding;chromosome organization;nucleus;histone deacetylation"	DNA conformation modification (e.g. chromatin);transcription repression;DNA binding;organization of chromosome structure;nucleus	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2	None	"MeCP1 protein complex represses transcription through preferential binding, remodeling, and deacetylation of methylated nucleosomes."	CHD4 is involved in dermatomyositis (PMID:9790534).
Cohesin-SA1 complex	O60216;Q14683;Q8WVM7;Q9UQE7	5885;8243;10274;9126	M phase;mitotic nuclear division;chromosome segregation;chromosome organization;chromosome	M phase;chromosome segregation/division;organization of chromosome structure;chromosome	RAD21;SMC1A;STAG1;SMC3	None	The results suggest that vertebrate cohesins are regulated by a novel prophase pathway which is distinct from the APC pathway that controls cohesins in yeast.	None
Cohesin-SA2 complex	O60216;Q14683;Q8N3U4;Q9UQE7	5885;8243;10735;9126	M phase;mitotic nuclear division;chromosome organization;nucleus	M phase;organization of chromosome structure;nucleus	RAD21;SMC1A;STAG2;SMC3	None	None	None
TRAP complex	O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0	9282;9862;7067;5469;9968;9440;9967;10025	"positive regulation of transcription, DNA-templated;receptor regulator activity;hormone-mediated signaling pathway;signaling;nucleus"	transcription activation;regulator of receptor activity;hormone mediated signal transduction;cellular signalling;nucleus	MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16	TRAP97 and 93 could not be found in the Uniprot database.	"The human thyroid hormone receptor-associated protein (TRAP) complex is a coactivator for nuclear receptors. Several identical subunits appear in protein complexes like DRIP/ARC, CRSP, NAT, PC2, SMCC and Mediator, indicating that unique classes of transcription activators may share common sets or subsets of cofactors."	None
AP4 adaptor complex	O00189;Q9UPM8;Q9Y587;Q9Y6B7	9179;23431;11154;10717	intracellular protein transport;protein targeting;protein transport;protein binding;post-Golgi vesicle-mediated transport;endocytosis;transport vesicle;Golgi apparatus	"protein targeting, sorting and translocation;protein transport;protein binding;post Golgi transport;endocytosis;intracellular transport vesicles;Golgi"	AP4M1;AP4E1;AP4S1;AP4B1	None	Adaptor protein complexes (APs) function as vesicle coat components in different membrane traffic pathways.	None
BCDX2 complex	O15315;O43502;O43543;O75771	5890;5889;7516;5892	DNA repair;DNA recombination;DNA binding;ATP binding;cellular response to DNA damage stimulus;nucleus	DNA repair;DNA recombination;DNA binding;ATP binding;DNA damage response;nucleus	RAD51B;RAD51C;XRCC2;RAD51D	None	None	None
MRN complex (MRE11-RAD50-NBN complex)	O60934;P49959;Q92878	4683;4361;10111	DNA catabolic process;DNA repair;cell cycle checkpoint;cellular response to DNA damage stimulus;nucleus	"DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA damage response;nucleus"	NBN;MRE11A;RAD50	None	The implication of hMre11/hRad50/p95 protein complex in NBS reveals a direct molecular link between DSB repair and cell cycle checkpoint functions.	Rad50-MRE11-p95 protein complex is involved in Nijmegen breakage syndrome.
R/M complex (RAD50-MRE11 complex)	P49959;Q92878	4361;10111	DNA catabolic process;DNA repair;DNA binding;cellular response to DNA damage stimulus;chromosome organization;nucleus	DNA degradation;DNA repair;DNA binding;DNA damage response;organization of chromosome structure;nucleus	MRE11A;RAD50	None	Mre11 by itself has 3' to 5' exonuclease activity that is increased when Mre11 is in a complex with Rad50.	None
MRN complex (MRE11-RAD50-NBN complex)	O60934;P49959;Q92878	4683;4361;10111	DNA catabolic process;DNA repair;cell cycle checkpoint;DNA binding;cellular response to DNA damage stimulus;nucleus	"DNA degradation;DNA repair;cell cycle checkpoints (checkpoints of morphogenesis, DNA-damage,-replication, mitotic phase and spindle);DNA binding;DNA damage response;nucleus"	NBN;MRE11A;RAD50	None	"On nonhairpin DNA ends, ATP controls a switch in endonuclease specificity that allows Mre11/Rad50/Nbs1 to cleave a 3'-protruding strand at a double-/single-strand transition."	None
HOMER3-IP3R-TRPC1 complex	P48995;Q14573;Q9NSC5	7220;3710;9454	cation transmembrane transporter activity;cation transport;ion channel activity;signaling;plasma membrane	"cation transport (H+, Na+, K+, Ca2+ , NH4+, etc.);ion channels;cellular signalling;eukaryotic plasma membrane / membrane attached"	TRPC1;ITPR3;HOMER3	None	"An adaptor protein, termed Homer, facilitates a physical association between TRPC1 and the IP(3)R that is required for the TRP channel to respond to signals. The TRPC1-Homer-IP(3)R complex is dynamic and its disassembly parallels TRPC1 channel activation. Homer's action depends on its ability to crosslink and is blocked by the dominant-negative immediate early gene form, H1a. Since H1a is transcriptionally regulated by cellular activity, this mechanism can affect both short and long-term regulation of TRPC1 function. TRPC1 is present at the plasma membrane."	None
TSC1-TSC2 complex	P49815;Q92574	7249;7248	regulation of translation;regulation of phosphorylation	translational control	TSC2;TSC1	None	"TSC1 and TSC2 form a functional complex and inhibit the phosphorylation of S6K and 4EBP1, two key regulators of translation."	Mutations in either the TSC1 or TSC2 tumor suppressor gene are responsible for Tuberous Sclerosis Complex.
"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1, RBX1)"	P62877;P63208;Q13309;Q13616	9978;6500;6502;8454	None	None	RBX1;SKP1;SKP2;CUL1	None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on target proteins. The ubiquitin ligase is referred to as an E3 and operates in conjunction with an E1 ubiquitin-activating enzyme and an E2 ubiquitin-conjugating enzyme. Polyubiquitination marks proteins for degradation by the proteasome.	None
"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"	P62877;P63208;Q14999;Q8N3Y1	9978;6500;9820;26259	protein ubiquitination;ubiquitin-dependent protein catabolic process	"modification by ubiquitination, deubiquitination;proteasomal degradation (ubiquitin/proteasomal pathway)"	RBX1;SKP1;CUL7;FBXW8	None	Ubiquitin E3 ligases covalently attach ubiquitin to a lysine residue on a target protein. Polyubiquitination marks proteins for degradation by the proteasome.	None
NUMAC complex (nucleosomal methylation activator complex)	O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9	8289;6597;60;6598;10498;6601;6599;6605;6602;57410	"DNA topological change;positive regulation of transcription, DNA-templated;protein hydroxylation;protein methylation;DNA binding;hormone-mediated signaling pathway;signaling;chromosome organization;nucleus"	"DNA conformation modification (e.g. chromatin);transcription activation;posttranslational modification of amino acids (e.g. hydroxylation, methylation);DNA binding;hormone mediated signal transduction;cellular signalling;organization of chromosome structure;nucleus"	ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1	None	"In the NUMAC complex, the methylase, CARM1, acquires the ability to covalently modify nucleosomal histones."	None
Nup 107-160 subcomplex	P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27	4928;6396;57122;23279;348995;79023;55746;81929;79902	"protein transport;protein transporter activity;transport;nuclear transport;chromosome, centromeric region"	"protein transport;CELLULAR TRANSPORT, TRANSPORT FACILITIES AND TRANSPORT ROUTES;nuclear transport;centromere / kinetochore"	NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85	None	"All trafficking of macromolecules between the cytoplasm and the nucleus occurs through nuclear pore complexes (NPCs), which are supramolecular assemblies at points of fusion between the inner and outer nuclear membranes. NPCs are composed of an eightfold symmetric spoke-ring complex, cytoplasmic fibers, and a nuclear basket."	None
Exocyst Sec6/8 complex	O00471;O60645;Q8IYI6;Q8TAG9;Q96A65;Q96KP1;Q9NV70;Q9UPT5	10640;11336;149371;54536;60412;55770;55763;23265	protein transport;protein transporter activity;exocytosis	protein transport;exocytosis	EXOC5;EXOC3;EXOC8;EXOC6;EXOC4;EXOC2;EXOC1;EXOC7	None	None	None
"FA complex (Fanconi anemia complex), cytoplasmic"	O15287;O15360;Q00597;Q9NPI8	2189;2175;2176;2188	protein ubiquitination;cellular response to DNA damage stimulus;cytoplasm	"modification by ubiquitination, deubiquitination;DNA damage response;cytoplasm"	FANCG;FANCA;FANCC;FANCF	None	None	FA complex is involved in Fanconi anemia (FA) disease.
CD28-transactivation complex	P10747;P19338	940;4691	"DNA-templated transcription, initiation;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;nucleus"	transcription initiation;transcriptional control;nucleus	CD28;NCL	None	None	None
Anaphase-promoting complex	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6	996;8881;64682;8697;51434;51433;29945;29882	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus	"mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by ubiquitination, deubiquitination;protein binding;nucleus"	CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2	None	The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.	None
SNF2H-BAZ1A complex	O60264;Q9NRL2	8467;11177	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;chromosome organization;nucleus"	DNA conformation modification (e.g. chromatin);transcriptional control;organization of chromosome structure;nucleus	SMARCA5;BAZ1A	None	The hACF complex also possesses ATP-dependent nucleosome remodeling and spacing activities.	None
Ku antigen-NARG1 complex	P12956;P13010;Q9BXJ9	2547;7520;80155	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;DNA binding"	transcriptional control;DNA binding	XRCC6;XRCC5;NAA15	None	This complex regulates osteocalcin gene expression.	None
Anaphase-promoting complex	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13	996;8881;64682;8697;51434;51433;29945;29882;10393	mitotic cell cycle;regulation of cell cycle;protein ubiquitination;protein binding;nucleus;ubiquitin-dependent protein catabolic process	"mitotic cell cycle;mitotic cell cycle and cell cycle control;modification by ubiquitination, deubiquitination;protein binding;nucleus;proteasomal degradation (ubiquitin/proteasomal pathway)"	CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2;ANAPC10	None	The initiation of anaphase and exit from mitosis depend on a multi-subunit ubiquitination complex called the anaphase-promoting complex (APC)1 or cyclosome. The APC ubiquitinates proteins such as Pds1 in budding yeast and Cut2 in fission yeast whose subsequent degradation by the 26 S proteasome is essential for the initiation of sister chromatid separation at the metaphase-anaphase transition. Later in anaphase and telophase the APC promotes the inactivation of the mitotic cyclin-dependent protein kinase 1 by ubiquitinating its activating subunit cyclin B.	None
p300-MDM2-p53 protein complex	P04637;Q00987;Q09472	7157;4193;2033	"regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;enzyme regulator activity;regulation of catalytic activity;nucleus"	transcriptional control;enzymatic activity regulation / enzyme regulator;nucleus	TP53;MDM2;EP300	None	None	None
hNURF complex	P28370;Q09028;Q12830;Q16576	6594;5928;2186;5931	"DNA topological change;regulation of RNA biosynthetic process;regulation of transcription, DNA-templated;neurogenesis;generation of neurons;chromosome organization;neuron differentiation;nucleus"	DNA conformation modification (e.g. chromatin);transcriptional control;neurogenesis;organization of chromosome structure;neuron;nucleus	SMARCA1;RBBP4;BPTF;RBBP7	None	NURF is a member of the ISWI-containing chromatin remodeling complexes.	None
